1,이트론,11,3,-21.43%,"62,301,276",723,11,12,100,0.55,-2.85
2,빌리언스,454,14,-2.99%,"27,093,073","13,446",456,457,185,-8.25,-10.32
3,현대무벡스,"5,860","1,205",+25.89%,"23,450,564","135,462","5,880","5,890","6,527",26.64,16.17
4,크레오에스지,448,83,+22.74%,"19,710,448","8,304",436,438,866,-5.03,-29.01
5,러셀,"2,325",260,+12.59%,"17,908,074","43,128","2,345","2,350",740,-332.14,8.06
6,유니슨,"1,262",215,+20.53%,"17,436,147","21,368","1,277","1,278","2,154",-11.91,-36.03
7,이화전기,80,14,-14.89%,"15,063,752","1,254",80,81,175,1.63,-5.83
8,태웅로직스,"3,485",460,+15.21%,"12,740,397","44,533","3,560","3,565","1,384",6.60,12.68
9,일승,"6,140",170,+2.85%,"10,662,964","68,600","6,150","6,160","1,887",37.44,4.57
10,스맥,"3,885",135,+3.60%,"10,339,012","40,686","3,875","3,880","2,651",24.28,18.73
11,동방선기,"4,635",150,+3.34%,"9,214,392","44,275","4,630","4,640",649,11.04,15.71
12,다날,"8,570",70,-0.81%,"8,486,647","72,046","8,630","8,650","5,909",-73.25,2.46
13,코닉오토메이션,"2,320",90,+4.04%,"8,226,706","19,738","2,290","2,300",976,-68.24,3.92
14,디에이치엑스컴퍼니,"1,009",119,+13.37%,"7,983,735","8,713","1,015","1,018",173,-0.67,-32.48
15,삼화네트웍스,"1,523",50,+3.39%,"7,869,411","12,489","1,525","1,527",658,-19.04,3.25
16,오리엔탈정공,"7,890",520,+7.06%,"7,726,170","62,877","7,920","7,930","3,596",13.67,26.45
17,KD,671,45,+7.19%,"7,085,125","4,866",635,636,179,-1.48,12.56
18,케이에스피,"5,520",240,+4.55%,"7,036,910","40,328","5,520","5,540","2,219",19.03,25.99
19,동일스틸럭스,"1,543",24,+1.58%,"6,999,151","11,651","1,562","1,564",403,-4.85,-28.53
20,성호전자,"1,064",37,+3.60%,"6,566,038","7,525","1,065","1,066",755,-8.79,6.54
21,조아제약,"1,167",155,+15.32%,"6,175,678","7,419","1,163","1,164",362,-3.58,-26.54
22,썸에이지,555,23,-3.98%,"6,158,075","3,515",561,562,773,-9.74,-28.33
23,뉴로핏,"12,800","2,500",+24.27%,"6,155,367","74,729","12,690","12,700","1,479",-7.55,34.38
24,올릭스,"76,400","상한가17,600",+29.93%,"6,020,227","431,534","76,400",0,"15,362",-30.91,-120.11
25,한라캐스트,"4,665",295,+6.75%,"5,567,548","26,619","4,690","4,700","1,703",12.09,46.18
26,휴림로봇,"2,605",90,+3.58%,"5,438,294","14,218","2,595","2,600","3,112",162.81,-5.59
27,삼영엠텍,"9,050",180,-1.95%,"5,290,682","49,291","9,100","9,110","1,176",13.23,8.54
28,손오공,"1,093",18,+1.67%,"4,502,674","4,929","1,129","1,133",732,-4.99,-38.27
29,피델릭스,"1,288",30,+2.38%,"4,399,085","5,696","1,299","1,300",427,-8.42,-4.53
30,현대ADM,"2,745",45,+1.67%,"4,280,014","12,154","2,745","2,750","1,327",-14.68,-118.31
31,미투온,"6,220",260,+4.36%,"4,235,987","25,337","6,080","6,090","1,890",N/A,0.40
32,디와이디,355,36,+11.29%,"4,222,757","1,524",354,356,444,-0.91,-241.11
